 "csubject" , "cnumber" , "cname" , "cdepartment" ,
 "GEOG" , "474" , "Sustainable Forest Management" , "Geography, Planning and Environment" ,
 "MECH" , "6311" , "Noise and Vibration Control" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COEN" , "6321" , "Applied Evolutionary and Learning Algorithms" , "Electrical and Computer Engineering (ECE)" ,
 "BTM" , "480" , "Project Management" , "Supply Chain and Business Technology Management" ,
 "EMBA" , "633" , "Applied Field Project I" , "Management" ,
 "FRAA" , "523" , "Rédaction II" , "Études françaises" ,
 "SCOM" , "498" , "Supply Chain Project" , "Supply Chain and Business Technology Management" ,
 "MECH" , "6021" , "Design of Industrial Control Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "GEOG" , "463" , "Advanced Geographic Information Systems" , "Geography, Planning and Environment" ,
 "COMP" , "5511" , "Principles of Data Structures" , "Computer Science and Software Engineering (CSSE)" ,
 "INDU" , "6341" , "Advanced Concepts in Quality Improvement" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "BIOL" , "450" , "Techniques in Ecology" , "Biology" ,
 "CATA" , "462" , "Advanced Emergency Care" , "Health, Kinesiology and Applied Physiology" ,
 "GEOG" , "377" , "Landform Evolution" , "Geography, Planning and Environment" ,
 "MBA" , "651" , "MBA Research Paper" , "Management" ,
 "COMS" , "284" , "Communication Media: Film and Video I" , "Communication Studies" ,
 "TESL" , "326" , "TESL Pedagogy: General" , "Education" ,
 "COMP" , "444" , "System Software Design" , "Computer Science and Software Engineering (CSSE)" ,
 "SOEN" , "6231" , "Distributed Systems" , "Computer Science and Software Engineering (CSSE)" ,
 "COMP" , "5201" , "Computer Organization and Assembly Language" , "Computer Science and Software Engineering (CSSE)" ,
 "COEN" , "6211" , "Biological Computing and Synthetic Biology" , "Electrical and Computer Engineering (ECE)" ,
 "MECH" , "6341" , "Engineering Analysis of Smart Materials and Structures" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "INDU" , "6141" , "Logistics Network Models" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "BLDG" , "471" , "HVAC System Design" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "SCPA" , "509" , "Financing CED Initiatives: Part II" , "School of Community and Public Affairs" ,
 "EDUC" , "297" , "Internship II: Observation and Evaluation in Education" , "Education" ,
 "JOUR" , "208" , "Intermediate Reporting" , "Journalism" ,
 "MECH" , "6161" , "Gas Turbine Design" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ACCO" , "330" , "Cost and Management Accounting" , "Accountancy" ,
 "ENGR" , "308" , "Engineering Industrial Experience Reflective Learning III" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "6101" , "Kinetic Theory of Gases" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "PERFORM" , "Centre" , "PERFORM Centre observation" , "Applied Human Sciences" ,
 "MECH" , "6431" , "Introduction to Tribology (Wear, Friction and Lubrication)" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COMS" , "394" , "Communication Studies Apprenticeship I" , "Communication Studies" ,
 "BCEE" , "371" , "Surveying" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ARTX" , "398" , "Special Topics in Contemporary Studio Arts Practice" , "Studio Arts" ,
 "COMP" , "207" , "Computer Science Industrial Experience Work Term II" , "Computer Science and Software Engineering (CSSE)" ,
 "ELEC" , "367" , "Introduction to Digital Communications" , "Electrical and Computer Engineering (ECE)" ,
 "AHSC" , "225" , "Self-Managed Learning" , "Applied Human Sciences" ,
 "BLDG" , "6221" , "Design of Computer-Aided Systems in Building and Civil Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "CHEM" , "436" , "Molecular Modelling of Proteins" , "Chemistry and Biochemistry" ,
 "ENCS" , "6821" , "Development & Global Engineering (also listed as ENCS 6821)" , "Centre for Engineering in Society" ,
 "INSE" , "6190" , "Wireless Network Security" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "FRAA" , "432" , "Écriture pour le Web" , "Études françaises" ,
 "BLDG" , "365" , "Building Science" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "JOUR" , "504" , "Intermediate Reporting" , "Journalism" ,
 "COMP" , "6791" , "Information Retrieval and Web Search" , "Computer Science and Software Engineering (CSSE)" ,
 "THEO" , "234" , "Pilgrim Bodies, Sacred Journeys" , "Theological Studies" ,
 "ADED" , "344" , "Design of Adult Learning Projects" , "Education" ,
 "ECON" , "423" , "Applied Econometrics" , "Economics" ,
 "FTRA" , "558" , "Pratique de la localisation" , "Études françaises" ,
 "PREX" , "PHYS" , "PREX PHYS" , "Physics" ,
 "INSE" , "6310" , "Systems Engineering Maintenance Management" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "GIIM" , "655" , "Socially Responsible & Sustainable Investment" , "Management" ,
 "SCPA" , "411" , "Internship" , "School of Community and Public Affairs" ,
 "PHYS" , "660" , "Chemical Aspects of Biophysics" , "Physics" ,
 "AERO" , "465" , "Gas Turbine Design" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "JOUR" , "309" , "Editing and Page Design" , "Journalism" ,
 "EDUC" , "460" , "Child Studies Field Experience: Child and Youth Settings" , "Education" ,
 "JOUR" , "535" , "Documentary and Photographic Series" , "Journalism" ,
 "ACCO" , "425" , "Financial Reporting IV" , "Accountancy" ,
 "TESL" , "330" , "Computers in Language Learning" , "Education" ,
 "PHYS" , "294" , "Experimental Electricity and Magnetism II" , "Physics" ,
 "POLI" , "693" , "Internship with Research Paper" , "Political Science" ,
 "ELEC" , "440" , "Controlled Electric Drives" , "Electrical and Computer Engineering (ECE)" ,
 "APLI" , "604" , "Applied Language Studies" , "Education" ,
 "ENCS" , "691" , "Technology Policy Immersion" , "Centre for Engineering in Society" ,
 "COEN" , "316" , "Computer Architecture and Design" , "Electrical and Computer Engineering (ECE)" ,
 "BLDG" , "6801" , "Construction Planning and Control" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ACCO" , "455" , "Fraud Prevention & Investigation" , "Accountancy" ,
 "ETEC" , "699" , "Internship" , "Education" ,
 "INSE" , "6130" , "Operating Systems Security" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "CIVI" , "7401" , "Design of Transportation Terminals" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MBA" , "652" , "MBA Internship" , "Management" ,
 "COEN" , "7311" , "Protocol Design and Validation" , "Electrical and Computer Engineering (ECE)" ,
 "HENV" , "655" , "Environmental Modelling" , "Geography, Planning and Environment" ,
 "TESL" , "467" , "Internship: Secondary I" , "Teaching English as a Second Language" ,
 "ENGR" , "108" , "Engineering Industrial Experience Reflective Learning I" , "Electrical and Computer Engineering (ECE)" ,
 "AHSC" , "332" , "Organization Development 1" , "Applied Human Sciences" ,
 "EXCI" , "357" , "Human Physiology II: The Cardiovascular and Respiratory Systems" , "Health, Kinesiology and Applied Physiology" ,
 "DRAW" , "200" , "Drawing In Italy" , "Studio Arts" ,
 "ENGR" , "8911" , "Doctoral Research and Thesis" , "Electrical and Computer Engineering (ECE)" ,
 "HIST" , "493" , "Honours Essay Tutorial" , "History" ,
 "MBA" , "609" , "Organizational Behaviour" , "Management" ,
 "EDUC" , "303" , "Children, Families and Social Policy" , "Education" ,
 "ELEC" , "6651" , "Adaptive Signal Processing" , "Electrical and Computer Engineering (ECE)" ,
 "ESL" , "206" , "Academic Oral Communication II" , "Any department" ,
 "INDU" , "6211" , "Production Systems and Inventory Control" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "APLI" , "660" , "Research Methods" , "Education" ,
 "ELEC" , "6611" , "Digital Filters" , "Electrical and Computer Engineering (ECE)" ,
 "ENGR" , "208" , "Engineering Industrial Experience Reflective Learning II" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "HIST" , "685" , "MA Thesis" , "History" ,
 "RELI" , "870" , "Doctoral Thesis" , "Religions and Cultures" ,
 "FTRA" , "423" , "Stage de formation : du français à l’anglais I" , "Études françaises" ,
 "BIOL" , "351" , "Basic Population Ecology" , "Biology" ,
 "THEO" , "692" , "Applied Project in Theology" , "Theological Studies" ,
 "MBA" , "659" , "Strategies in Action (Case competition)" , "Management" ,
 "LOYC" , "240" , "Global Environmental Issues and Ecological Justice (also listed as POLI 208)" , "Loyola College for Diversity and Sustainability" ,
 "CIVI" , "6531" , "Soil Testing and Properties" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MBA" , "649" , "Strategic Managerial Accounting & Control" , "Management" ,
 "COMP" , "108" , "Computer ScienceIndustrial Experience Reflective Learning I" , "Computer Science and Software Engineering (CSSE)" ,
 "ELEC" , "465" , "Networks Security and Management" , "Electrical and Computer Engineering (ECE)" ,
 "AERO" , "455" , "Computational Fluid Dynamics for Aerospace Applications" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "PHYS" , "494" , "Methods of Experimental Physics" , "Physics" ,
 "ELEC" , "6231" , "Design of Integrated Circuit Components" , "Electrical and Computer Engineering (ECE)" ,
 "ITAL" , "490" , "Honours Essay Tutorial" , "Classics, Modern Languages and Linguistics" ,
 "ELEC" , "424" , "VLSI Process Technology" , "Electrical and Computer Engineering (ECE)" ,
 "ELEC" , "6341" , "Antennas" , "Electrical and Computer Engineering (ECE)" ,
 "ELEC" , "6271" , "Nanoscience and Nanotechnology: Opto-Electronic Devices" , "Electrical and Computer Engineering (ECE)" ,
 "ELEC" , "434" , "Behaviour of Power Systems" , "Electrical and Computer Engineering (ECE)" ,
 "BLDG" , "6601" , "Building Enclosure" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ENGL" , "802" , "Professional Development Workshops" , "English" ,
 "BSTA" , "378" , "Statistical Models for Data Analysis" , "Supply Chain and Business Technology Management" ,
 "COEN" , "311" , "Computer Organization and Software" , "Electrical and Computer Engineering (ECE)" ,
 "ELEC" , "6171" , "Modelling and Analysis of Telecommunications Networks" , "Electrical and Computer Engineering (ECE)" ,
 "MARK" , "458" , "The Marketing of Food" , "Marketing" ,
 "FRAN" , "318" , "Le français des affaires I" , "Any department" ,
 "MECH" , "351" , "Thermodynamics II" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COMP" , "478" , "Image Processing" , "Computer Science and Software Engineering (CSSE)" ,
 "PHYS" , "225" , "Introductory Experimental Electricity" , "Physics" ,
 "MECH" , "424" , "MEMS - Design and Fabrication" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "PSYC" , "707" , "Assessment Practicum II" , "Psychology" ,
 "AHSC" , "425" , "Organization Development II" , "Applied Human Sciences" ,
 "BIOL" , "337" , "Invertebrate Biology" , "Biology" ,
 "ELEC" , "6311" , "Radiation and Scattering of Waves" , "Electrical and Computer Engineering (ECE)" ,
 "GDBA" , "532" , "Accounting" , "Accountancy" ,
 "ENGL" , "694" , "Research Essay" , "English" ,
 "CHEM" , "419" , "Independent Study and Practicum" , "Chemistry and Biochemistry" ,
 "FTRA" , "681" , "Tutorial in literature" , "Études françaises" ,
 "SCPA" , "510" , "CED Field Project - Part I" , "School of Community and Public Affairs" ,
 "ELEC" , "6861" , "Higher Layer Telecommunications Protocols" , "Electrical and Computer Engineering (ECE)" ,
 "SCPA" , "537" , "Aboriginal CED: Part II" , "School of Community and Public Affairs" ,
 "INDU" , "423" , "Inventory Control" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "CIVI" , "6451" , "Pavement Design" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "EXCI" , "450" , "Physical Fitness Assessment, Exercise Prescription and Rehabilitation in Special Populations" , "Health, Kinesiology and Applied Physiology" ,
 "SCOL" , "391" , "Directed and Independent Study II" , "Science College" ,
 "MPER" , "321" , "Chamber Ensemble I" , "Music" ,
 "MECH" , "215" , "Programming for Mechanical and Industrial Engineers" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "POLI" , "419" , "Strategic Studies" , "Political science" ,
 "PSYC" , "885" , "Predoctoral Internship" , "Psychology" ,
 "INDU" , "6111" , "Theory of Operations Research" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "WSDB" , "394" , "Tutorial in Women’s Studies" , "Simone de Beauvoir Institute" ,
 "ETEC" , "792" , "Internship Report (Non-Thesis Option)" , "Education" ,
 "COEN" , "6551" , "Formal Hardware Verification" , "Electrical and Computer Engineering (ECE)" ,
 "TESL" , "471" , "English Language Arts: Secondary" , "Education" ,
 "HIST" , "498" , "Edible Environments: In and Beyond Montreal (also listed as HIST 670)" , "History" ,
 "ENGR" , "107" , "Engineering Industrial Experience Work Term I" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "FTRA" , "401" , "Traduction littéraire avancée : du français à l’anglais" , "Études françaises" ,
 "JPER" , "441" , "Jazz Vocal Repertoire II" , "Music" ,
 "COMP" , "354" , "Introduction to Software Engineering" , "Computer Science and Software Engineering (CSSE)" ,
 "GEOL" , "414" , "Undergraduate Research" , "Geography, Planning and Environment" ,
 "FRAN" , "319" , "Le français des affaires II" , "Études françaises" ,
 "CLAS" , "368" , "Field work in Archeology" , "Classics, Modern Languages and Linguistics" ,
 "COMP" , "5541" , "Tools and Techniques for Software Engineering" , "Computer Science and Software Engineering (CSSE)" ,
 "MBA" , "660" , "Small Business Consulting Bureau" , "Management" ,
 "EDUC" , "493" , "Internship IV: Primary Teaching" , "Education" ,
 "EXCI" , "383" , "Clinical Exercise Physiology Internship I" , "Health, Kinesiology and Applied Physiology" ,
 "BLDG" , "7401" , "Dispersion of Building Exhaust" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MARK" , "460" , "Integrated Marketing Communications Practicum" , "Marketing" ,
 "SPAN" , "490" , "Honours Project" , "Classics, Modern Languages and Linguistics" ,
 "AHSC" , "670" , "Consultation Methods" , "Applied Human Sciences" ,
 "INDU" , "480" , "Cases in Industrial Engineering" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "BLDG" , "6781" , "Energy Management in Buildings" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "TRAN" , "E-F" , "Traduction anglais-francais / English-French Translation Co-op" , "Études françaises" ,
 "INDU" , "311" , "Simulation of Industrial Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "AHSC" , "632" , "Planning Human Systems Intervention" , "Applied Human Sciences" ,
 "CIVI" , "6301" , "Hydrology" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "PSYC" , "710" , "APC Practicum II: Child" , "Psychology" ,
 "CATA" , "365" , "Athletic Therapy Field Internship I" , "Health, Kinesiology and Applied Physiology" ,
 "FLIT" , "486" , "Création littéraire I" , "Études françaises" ,
 "CIVI" , "7311" , "Advanced Analysis of Groundwater Flow and Contamination" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "CHEM" , "271" , "Biochemistry I" , "Chemistry and Biochemistry" ,
 "EMBA" , "630" , "Financial Decisions Under Uncertainty" , "Management" ,
 "MECH" , "6011" , "Analysis and Design of Pneumatic Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "SCPA" , "352" , "Community and Local Activism" , "School of Community and Public Affairs" ,
 "LIBS" , "495" , "Field Practice" , "Education" ,
 "COEN" , "451" , "VLSI Circuit Design" , "Electrical and Computer Engineering (ECE)" ,
 "ADIP" , "585" , "Integrative Internship I" , "Education" ,
 "SPAN" , "695" , "Thesis" , "Classics, Modern Languages and Linguistics" ,
 "AHSC" , "435" , "Fieldwork Practice" , "Applied Human Sciences" ,
 "CHEM" , "BIO" , "Chemistry and Biochemistry Co-op" , "Chemistry and Biochemistry" ,
 "MPER" , "322" , "Chamber Ensemble II" , "Music" ,
 "FLIT" , "692" , "Mémoire" , "Études françaises" ,
 "EMBA" , "610" , "Measuring & Reporting Financial Performance" , "Management" ,
 "CHST" , "606" , "Qualitative Methods of Inquiry" , "Education" ,
 "BIOL" , "624" , "Advances in Decomposer Communities and Nutrient Cycling" , "Biology" ,
 "COEN" , "6501" , "Digital System Design and Synthesis" , "Electrical and Computer Engineering (ECE)" ,
 "COMS" , "570" , "Media Production: Intermedia" , "Communication Studies" ,
 "ELEC" , "6041" , "Large-scale Control Systems" , "Electrical and Computer Engineering (ECE)" ,
 "ADED" , "496" , "Integrative Internship I" , "Education" ,
 "BIOL" , "205" , "Introduction to Sustainability" , "Biology" ,
 "LOYC" , "420" , "Integrative Project" , "Loyola College for Diversity and Sustainability" ,
 "FTRA" , "526" , "Stage de formation de l’anglais au français II (F)" , "Études françaises" ,
 "ELEC" , "6241" , "VLSI Process Technology" , "Electrical and Computer Engineering (ECE)" ,
 "FINA" , "482" , "International Banking: Operations, Policy and Strategy" , "Finance" ,
 "BIOL" , "516" , "Project in Biotechnology and Genomics" , "Biology" ,
 "CIVI" , "6681" , "Environmental Nanotechnology" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "ELEC" , "421" , "Solid State Devices" , "Electrical and Computer Engineering (ECE)" ,
 "ENGL" , "428" , "Advanced Studies in Creative Writing" , "English" ,
 "FLIT" , "496" , "Recherche dirigée" , "Études françaises" ,
 "CHEM" , "431" , "Computational Chemistry for Chemists and Biochemists" , "Chemistry and Biochemistry" ,
 "COMS" , "513" , "Cultures of Production" , "Communication Studies" ,
 "MARK" , "492" , "Cross-cultural communication" , "Marketing" ,
 "ENGR" , "307" , "Engineering Industrial Experience Work Term III" , "Electrical and Computer Engineering (ECE)" ,
 "MECH" , "375" , "Mechanical Vibrations" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "THEO" , "697" , "Thesis" , "Theological Studies" ,
 "GEOG" , "260" , "Mapping the Environment" , "Geography, Planning and Environment" ,
 "APLI" , "636" , "Language Awareness" , "Education" ,
 "ELEC" , "431" , "Electrical Power Systems" , "Electrical and Computer Engineering (ECE)" ,
 "FLIT" , "488" , "Création littéraire II" , "Études françaises" ,
 "MECH" , "6631" , "Industrial Automation" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "311" , "Manufacturing Processes" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "STAT" , "388" , "Statistics Lab II" , "Mathematics and Statistics" ,
 "SOEN" , "390" , "Software Engineering Team Design Project" , "Computer Science and Software Engineering (CSSE)" ,
 "EDUC" , "402" , "Diversity Issues in Childhood" , "Education" ,
 "COMS" , "585" , "Directed Study in Communication Studies I" , "Communication Studies" ,
 "COMS" , "606" , "Media Research Practicum" , "Communication Studies" ,
 "ELEC" , "6061" , "Real-time Computer Control Systems" , "Electrical and Computer Engineering (ECE)" ,
 "CIVI" , "484" , "Hydraulic Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "CIVI" , "6011" , "Precast and Prestressed Concrete Structures" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "BIOL" , "321" , "Evolution" , "Biology" ,
 "COMP" , "472" , "Artificial Intelligence" , "Computer Science and Software Engineering (CSSE)" ,
 "MECH" , "6641" , "Engineering Fracture Mechanics and Fatigue" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MECH" , "6681" , "Dynamics and Control of Nonholonomic Systems" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "URBS" , "435" , "Transportation Impact Assessment" , "Geography, Planning and Environment" ,
 "CHEM" , "221" , "Introductory Organic Chemistry I" , "Chemistry and Biochemistry" ,
 "FTRA" , "680" , "Tutorat en littérature" , "Études françaises" ,
 "MBA" , "658" , "Case Competition Organizer" , "Management" ,
 "ELEC" , "6131" , "Error Detecting and Correcting Codes" , "Electrical and Computer Engineering (ECE)" ,
 "MANA" , "481" , "Introduction to Management Consulting" , "Management" ,
 "AHSC" , "410" , "Advanced Youth Work Intervention" , "Applied Human Sciences" ,
 "MECH" , "7501" , "Design Using Composite Materials" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "BLDG" , "6641" , "Industrialized Building" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "SOEN" , "228" , "System Hardware" , "Computer Science and Software Engineering (CSSE)" ,
 "BLDG" , "7601" , "Durability of Building Materials" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "BLDG" , "7521" , "Advanced Computer-Aided Building Design" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "GEOG" , "465" , "Remote Sensing" , "Geography, Planning and Environment" ,
 "EXCI" , "254" , "Human Anatomy II: Systemic Anatomy" , "Health, Kinesiology and Applied Physiology" ,
 "ELEC" , "430" , "Electrical Power Equipment" , "Electrical and Computer Engineering (ECE)" ,
 "BLDG" , "6591" , "Computer-Aided Building Design" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "GEOG" , "363" , "Geographic Information Systems" , "Geography, Planning and Environment" ,
 "FTRA" , "422" , "Stage de formation : de l’anglais au français I" , "Études françaises" ,
 "ENGL" , "348" , "Creative Writing: Poetry" , "English" ,
 "PSYC" , "705" , "APC Practicum I" , "Psychology" ,
 "BLDG" , "6231" , "Applications of Artificial Intelligence in Building and Civil Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "SCPA" , "511" , "Projet DÉC. Partie II" , "School of Community and Public Affairs" ,
 "CIVI" , "6651" , "Water Pollution and Control" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "FINA" , "395" , "Theory of Finance II" , "Finance" ,
 "MECH" , "414" , "Computer Numerically Controlled Machining" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "SOCI" , "691" , "Thesis" , "Sociology and Anthropology" ,
 "SOEN" , "487" , "Web Services and Applications" , "Computer Science and Software Engineering (CSSE)" ,
 "TESL" , "426" , "Primary Pedagogy" , "Education" ,
 "BLDG" , "6071" , "Wind Engineering and Building Aerodynamics" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "6541" , "Joining Processes and Nondestructive Testing" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "BIOL" , "201" , "Introductory Biology" , "Biology" ,
 "INSE" , "6160" , "Database Security and Privacy" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "AHSC" , "525" , "Individual and Group Intervention with Youth" , "Applied Human Sciences" ,
 "ACTU" , "386" , "Actuarial Mathematics Lab II" , "Mathematics and Statistics" ,
 "AHSC" , "480" , "Internship in Family Relations" , "Applied Human Sciences" ,
 "PSYC" , "890" , "Research and Thesis" , "Psychology" ,
 "BLDG" , "6711" , "Mechanical Systems in Building" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "JOUR" , "508" , "Research Project" , "Journalism" ,
 "APLI" , "616" , "Pedagogical Grammar" , "Education" ,
 "INDU" , "6221" , "Lean Enterprise" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "MATH" , "646" , "Research Internship" , "Mathematics and Statistics" ,
 "URBS" , "362" , "Quantitative Research Methods" , "Geography, Planning and Environment" ,
 "GEOL" , "302" , "Palaeobiology" , "Geography, Planning and Environment" ,
 "CLAS" , "370" , "Practicum in Archaeology" , "Classics, Modern Languages and Linguistics" ,
 "INDU" , "324" , "Operations Research II" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "INSE" , "6510" , "Video Game Technology and Development" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "TRAN" , "E-F" , "Traduction anglais-francais / English-French Translation Co-op - International" , "Études françaises" ,
 "MBA" , "632" , "MBA Practicum Project" , "Management" ,
 "MECH" , "461" , "Gas Dynamics" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "COMP" , "249" , "Object‑Oriented Programming I" , "Computer Science and Software Engineering (CSSE)" ,
 "MATH" , "ACTF" , "Actuarial Finance Co-op - International" , "Mathematics and Statistics" ,
 "JOUR" , "527" , "Elements of Lighting for Visual Journalism" , "Journalism" ,
 "JOUR" , "505" , "Advanced Reporting" , "Journalism" ,
 "CIVI" , "6101" , "Planning and Design of Bridges" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "SCPA" , "301" , "Social Debates and Issues in Public Affairs and Public Policy" , "School of Community and Public Affairs" ,
 "CIVI" , "321" , "Engineering Materials" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "INSE" , "6680" , "Systems Physical Security" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "MAST" , "700" , "Thesis" , "Mathematics and Statistics" ,
 "ELEC" , "7441" , "Design of Power Electronic Circuits" , "Electrical and Computer Engineering (ECE)" ,
 "MANA" , "529" , "Internship" , "Any department" ,
 "TESL" , "324" , "Methodology I" , "Education" ,
 "ELEC" , "6411" , "Power Electronics I" , "Electrical and Computer Engineering (ECE)" ,
 "COEN" , "6313" , "Programming on the Cloud" , "Electrical and Computer Engineering (ECE)" ,
 "COEN" , "490" , "Capstone Computer Engineering Design Project" , "Electrical and Computer Engineering (ECE)" ,
 "ELEC" , "6461" , "Power Electronics II" , "Electrical and Computer Engineering (ECE)" ,
 "INSE" , "6400" , "Principles of Systems Engineering" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "THEO" , "404" , "Practicum in Pastoral Ministry" , "Theological Studies" ,
 "FINA" , "385" , "Theory of Finance I" , "Finance" ,
 "INSE" , "6311" , "Sustainable Infrastructure Planning and Management Systems" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "INSE" , "6300" , "Quality Assurance in Supply Chain Management" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "MARK" , "493" , "Current issues in marketing" , "Marketing" ,
 "INSE" , "6441" , "Applied Game Theory and Mechanism Design" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "RELI" , "680" , "Guided Research Paper" , "Religions and Cultures" ,
 "BLDG" , "463" , "Building Envelope Design" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MBA" , "644" , "Marketing Management" , "Management" ,
 "CHST" , "693" , "Child Studies Internship" , "Education" ,
 "FTRA" , "598" , "Étude avancée d’un sujet particulier / Special Topics" , "Études françaises" ,
