 "csubject" , "cnumber" , "cname" , "cdescription" ,
 "ELEC" , "273" , "Basic Circuit Analysis" , "Laboratory: 15 hours total" ,
 "ELEC" , "6471" , "Hybrid Electric Vehicle Power System Design and Control" , "A project is required" ,
 "MECH" , "6691" , "Optical Microsystems" , "A project is required" ,
 "FTRA" , "655" , "Gestion de projets Co-listé : FTRA 555" , "mises en situation" ,
 "INDU" , "410" , "Safety Engineering" , "Laboratory: 2 hours per week, alternate weeks" ,
 "MECH" , "421" , "Mechanical Shaping of Metals and Plastics" , "Laboratory: 2 hours per week, alternate weeks" ,
 "ELEC" , "6361" , "Acoustics" , "A project is required" ,
 "CIVI" , "6001" , "Advanced Reinforced Concrete" , "A project is required" ,
 "FRAA" , "409" , "Cours libre de traduction" , "travaux pratiques de traduction de l’anglais au français" ,
 "PHYS" , "393" , "Experimental Thermodynamics" , "Laboratory" ,
 "FTRA" , "634" , "Traduction littéraire de l’anglais au français Co-listé : FTRA 504" , "travaux pratiques" ,
 "PHYS" , "292" , "Experimental Mechanics II" , "Experiments, practical laboratory course" ,
 "MECH" , "6491" , "Engineering Metrology and Measurement Systems" , "A project is required" ,
 "JOUR" , "445" , "Advanced Photojournalism" , "Workshop course" ,
 "CHEM" , "205" , "General Chemistry I" , "Laboratory" ,
 "CIVI" , "432" , "Soil Mechanics" , "Laboratory: 2 hours per week, alternate weeks" ,
 "GEOG" , "474" , "Sustainable Forest Management" , "Mandatory field trip" ,
 "MECH" , "6311" , "Noise and Vibration Control" , "Projects on selected applications are required" ,
 "COEN" , "6321" , "Applied Evolutionary and Learning Algorithms" , "A project is required" ,
 "BTM" , "480" , "Project Management" , "Game-based learning using full version of industry ERP system on simulated business cases." ,
 "EMBA" , "633" , "Applied Field Project I" , "Field project, business project proposal" ,
 "FRAA" , "523" , "Rédaction II" , "compétences (rédactionnelles)" ,
 "SCOM" , "498" , "Supply Chain Project" , "Project carried out in a real-life setting" ,
 "MECH" , "6021" , "Design of Industrial Control Systems" , "A project on specific topic or applications is required" ,
 "GEOG" , "463" , "Advanced Geographic Information Systems" , "Hands-on use of ArcGIS software, Laboratory" ,
 "COMP" , "5511" , "Principles of Data Structures" , "Laboratory: 24 hours total" ,
 "INDU" , "6341" , "Advanced Concepts in Quality Improvement" , "A project on selected topics is required" ,
 "BIOL" , "450" , "Techniques in Ecology" , "Laboratory" ,
 "CATA" , "462" , "Advanced Emergency Care" , "Laboratory" ,
 "GEOG" , "377" , "Landform Evolution" , "Laboratory" ,
 "MBA" , "651" , "MBA Research Paper" , "Research paper" ,
 "COMS" , "284" , "Communication Media: Film and Video I" , "Practicum course" ,
 "TESL" , "326" , "TESL Pedagogy: General" , "Mininum 20 hours observing, teaching & assisting in adult ESL classes, classroom-based projects" ,
 "COMP" , "444" , "System Software Design" , "Laboratory: 24 hours total, project" ,
 "SOEN" , "6231" , "Distributed Systems" , "Laboratory: 24 hours total, project" ,
 "COMP" , "5201" , "Computer Organization and Assembly Language" , "Laboratory: 24 hours total, project" ,
 "COEN" , "6211" , "Biological Computing and Synthetic Biology" , "A project is required" ,
 "MECH" , "6341" , "Engineering Analysis of Smart Materials and Structures" , "A project is required" ,
 "INDU" , "6141" , "Logistics Network Models" , "A project is required" ,
 "BLDG" , "471" , "HVAC System Design" , "Laboratory: 2 hours per week" ,
 "SCPA" , "509" , "Financing CED Initiatives: Part II" , "Case study approach,  on site visits, interviews" ,
 "EDUC" , "297" , "Internship II: Observation and Evaluation in Education" , "Students conduct observations in recognized educational institutions (40 hours)" ,
 "JOUR" , "208" , "Intermediate Reporting" , "Workshop course, practical out-of-class assignments" ,
 "MECH" , "6161" , "Gas Turbine Design" , "A project on specific topic or applications is required" ,
 "ACCO" , "330" , "Cost and Management Accounting" , "Course" ,
 "ENGR" , "308" , "Engineering Industrial Experience Reflective Learning III" , "Associated reflective learning course to industrial experience work term III" ,
 "MECH" , "6101" , "Kinetic Theory of Gases" , "A project on specific topic or applications is required" ,
 "PERFORM" , "Centre" , "PERFORM Centre observation" , "Observation" ,
 "MECH" , "6431" , "Introduction to Tribology (Wear, Friction and Lubrication)" , "A project on specific topic or applications is required" ,
 "COMS" , "394" , "Communication Studies Apprenticeship I" , "Work in the industry, open apprenticeship position" ,
 "BCEE" , "371" , "Surveying" , "Fieldwork" ,
 "ARTX" , "398" , "Special Topics in Contemporary Studio Arts Practice" , "Studio course" ,
 "COMP" , "207" , "Computer Science Industrial Experience Work Term II" , "Industrial experience work term" ,
 "ELEC" , "367" , "Introduction to Digital Communications" , "Laboratory: 15 hours total" ,
 "AHSC" , "225" , "Self-Managed Learning" , "Enables students to create clear personal visions, set relevant learning goals, create, organize related activities, & assess their progress" ,
 "BLDG" , "6221" , "Design of Computer-Aided Systems in Building and Civil Engineering" , "Project on implementation of a small scale computer-aided engineering system" ,
 "CHEM" , "436" , "Molecular Modelling of Proteins" , "Hands-on introduction, Computer laboratory" ,
 "ENCS" , "6821" , "Development & Global Engineering (also listed as ENCS 6821)" , "Course-integrated project; Games; Case Studies;" ,
 "INSE" , "6190" , "Wireless Network Security" , "A project is required" ,
 "FRAA" , "432" , "Écriture pour le Web" , "création et traduction de pages et de sites web" ,
 "BLDG" , "365" , "Building Science" , "Laboratory: 2 hours per week, alternate weeks" ,
 "JOUR" , "504" , "Intermediate Reporting" , "Laboratory work" ,
 "COMP" , "6791" , "Information Retrieval and Web Search" , "Laboratory: 24 hours total, project" ,
 "THEO" , "234" , "Pilgrim Bodies, Sacred Journeys" , "Individual and group fieldwork" ,
 "ADED" , "344" , "Design of Adult Learning Projects" , "Design & conduct a learning activity in the area of subject matter speciality" ,
 "ECON" , "423" , "Applied Econometrics" , "computer analyis; case studies; model building" ,
 "FTRA" , "558" , "Pratique de la localisation" , "pratique, logiciels" ,
 "PREX" , "PHYS" , "PREX PHYS" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "INSE" , "6310" , "Systems Engineering Maintenance Management" , "A project is required" ,
 "GIIM" , "655" , "Socially Responsible & Sustainable Investment" , "Case studies" ,
 "SCPA" , "411" , "Internship" , "Internship" ,
 "PHYS" , "660" , "Chemical Aspects of Biophysics" , "Individual project" ,
 "AERO" , "465" , "Gas Turbine Design" , "Laboratory: 2 hours per week, alternate weeks" ,
 "JOUR" , "309" , "Editing and Page Design" , "Workshop course" ,
 "EDUC" , "460" , "Child Studies Field Experience: Child and Youth Settings" , "Field placement one day per week, total of 60 hours in off-campus settings" ,
 "JOUR" , "535" , "Documentary and Photographic Series" , "Workshop course" ,
 "ACCO" , "425" , "Financial Reporting IV" , "Prepare financial statements for a fictitious company" ,
 "TESL" , "330" , "Computers in Language Learning" , "Conceptualize, design and assess computer-based materials (including websites, online materials, digital games, virtual learning environments, etc.); develop a computer-assisted language learning curriculum;" ,
 "PHYS" , "294" , "Experimental Electricity and Magnetism II" , "Experiments, practical laboratory course" ,
 "POLI" , "693" , "Internship with Research Paper" , "4-month job placement in either the public or private sector" ,
 "ELEC" , "440" , "Controlled Electric Drives" , "Laboratory: 15 hours total" ,
 "APLI" , "604" , "Applied Language Studies" , "Analysis of language data (e.g., phonological, morphosyntactic phenomena); synthesize research for various presentation formats: abstract, reviews, 3-min./10-min/20-min oral presentations, research papers, etc.;" ,
 "ENCS" , "691" , "Technology Policy Immersion" , "Course-integrated project; Case Studies" ,
 "COEN" , "316" , "Computer Architecture and Design" , "Laboratory: 15 hours total" ,
 "BLDG" , "6801" , "Construction Planning and Control" , "A case study & project" ,
 "ACCO" , "455" , "Fraud Prevention & Investigation" , "Real‑life fraud case discussions" ,
 "ETEC" , "699" , "Internship" , "Internship" ,
 "INSE" , "6130" , "Operating Systems Security" , "A project is required" ,
 "CIVI" , "7401" , "Design of Transportation Terminals" , "A project is required" ,
 "MBA" , "652" , "MBA Internship" , "Internship" ,
 "COEN" , "7311" , "Protocol Design and Validation" , "A project is required" ,
 "HENV" , "655" , "Environmental Modelling" , "Laboratory" ,
 "TESL" , "467" , "Internship: Secondary I" , "Minimum 140 hours observing and teaching in a secondary school supervised by a co-operating teacher and a university professor" ,
 "ENGR" , "108" , "Engineering Industrial Experience Reflective Learning I" , "Associated reflective learning course to industrial experience work term I" ,
 "AHSC" , "332" , "Organization Development 1" , "Learn the phases and skills of OD consulting by participating in several workplace simulations" ,
 "EXCI" , "357" , "Human Physiology II: The Cardiovascular and Respiratory Systems" , "Laboratory" ,
 "DRAW" , "200" , "Drawing In Italy" , "International" ,
 "ENGR" , "8911" , "Doctoral Research and Thesis" , "Research, thesis" ,
 "HIST" , "493" , "Honours Essay Tutorial" , "Tutorial, written work, 40 pages in length" ,
 "MBA" , "609" , "Organizational Behaviour" , "Case analyses & experiential exercises" ,
 "EDUC" , "303" , "Children, Families and Social Policy" , "Group Project: Drafting policy statements, linking theoretical concepts with real-life needs and issues" ,
 "ELEC" , "6651" , "Adaptive Signal Processing" , "A project is required" ,
 "ESL" , "206" , "Academic Oral Communication II" , "Course for students who are English language learners. Multimedia language lab " ,
 "INDU" , "6211" , "Production Systems and Inventory Control" , "A project is required" ,
 "APLI" , "660" , "Research Methods" , "Students engage in a project leading to a proposal for an MA-level research study. The research proposal consists of two parts: (a) review of the literature and (b) method section, organized as a single, coherent document. The research proposal also includes an oral presentation, and a response to peer feedback document." ,
 "ELEC" , "6611" , "Digital Filters" , "A project is required" ,
 "ENGR" , "208" , "Engineering Industrial Experience Reflective Learning II" , "Associated reflective learning course to industrial experience work term II" ,
 "HIST" , "685" , "MA Thesis" , "Thesis" ,
 "RELI" , "870" , "Doctoral Thesis" , "Thesis" ,
 "FTRA" , "423" , "Stage de formation : du français à l’anglais I" , "stage; activité professionnelle" ,
 "BIOL" , "351" , "Basic Population Ecology" , "Computer lab Tutorials" ,
 "THEO" , "692" , "Applied Project in Theology" , "Practicum" ,
 "MBA" , "659" , "Strategies in Action (Case competition)" , "Competition" ,
 "LOYC" , "240" , "Global Environmental Issues and Ecological Justice (also listed as POLI 208)" , "Groupwork simulation of the international climate change negotiations through the United Nations Framework Convention on Climate Change (UNFCCC).  Groups must come to an agreement for further reducing fossil fuel emissions following the success of the Paris Climate Accords in 2015." ,
 "CIVI" , "6531" , "Soil Testing and Properties" , "A project is required" ,
 "MBA" , "649" , "Strategic Managerial Accounting & Control" , "Case method" ,
 "COMP" , "108" , "Computer ScienceIndustrial Experience Reflective Learning I" , "Associated reflective learning course to industrial experience work term I" ,
 "ELEC" , "465" , "Networks Security and Management" , "Laboratory: 15 hours total" ,
 "AERO" , "455" , "Computational Fluid Dynamics for Aerospace Applications" , "Laboratory: 3 hours per week, alternate weeks" ,
 "PHYS" , "494" , "Methods of Experimental Physics" , "Laboratory" ,
 "ELEC" , "6231" , "Design of Integrated Circuit Components" , "A project is required" ,
 "ITAL" , "490" , "Honours Essay Tutorial" , "Extensive research essay" ,
 "ELEC" , "424" , "VLSI Process Technology" , "Device fabrication, Laboratory: 15 hours total" ,
 "ELEC" , "6341" , "Antennas" , "A project is required" ,
 "ELEC" , "6271" , "Nanoscience and Nanotechnology: Opto-Electronic Devices" , "A project is required" ,
 "ELEC" , "434" , "Behaviour of Power Systems" , "Laboratory: 15 hours total" ,
 "BLDG" , "6601" , "Building Enclosure" , "A project is required" ,
 "ENGL" , "802" , "Professional Development Workshops" , "Workshops" ,
 "BSTA" , "378" , "Statistical Models for Data Analysis" , "Analyses of real-life data using statistical software packages" ,
 "COEN" , "311" , "Computer Organization and Software" , "Laboratory: 15 hours total" ,
 "ELEC" , "6171" , "Modelling and Analysis of Telecommunications Networks" , "A project is required" ,
 "MARK" , "458" , "The Marketing of Food" , "Live case studies" ,
 "FRAN" , "318" , "Le français des affaires I" , "French for language learners. Techniques de la correspondance commerciale; communications d’affaires" ,
 "MECH" , "351" , "Thermodynamics II" , "Laboratory: 2 hours per week, alternate weeks
Micro Steam Car Competition: students design & build a car powered by a soda-can water boiler, a pin-sized nozzle and a turbine which drives the front wheels" ,
 "COMP" , "478" , "Image Processing" , "Laboratory: 24 hours total, project" ,
 "PHYS" , "225" , "Introductory Experimental Electricity" , "Experiment, lab" ,
 "MECH" , "424" , "MEMS - Design and Fabrication" , "Laboratory: 2 hours per week, alternate weeks" ,
 "PSYC" , "707" , "Assessment Practicum II" , "Administer intellectual tests under supervision" ,
 "AHSC" , "425" , "Organization Development II" , "Experiential approaches, in-class applications" ,
 "BIOL" , "337" , "Invertebrate Biology" , "Laboratory" ,
 "ELEC" , "6311" , "Radiation and Scattering of Waves" , "A project is required" ,
 "GDBA" , "532" , "Accounting" , "Course" ,
 "ENGL" , "694" , "Research Essay" , "Research" ,
 "CHEM" , "419" , "Independent Study and Practicum" , "Practicum" ,
 "FTRA" , "681" , "Tutorial in literature" , "tutorial" ,
 "SCPA" , "510" , "CED Field Project - Part I" , "Field project in community economic development, community organization" ,
 "ELEC" , "6861" , "Higher Layer Telecommunications Protocols" , "A project is required" ,
 "SCPA" , "537" , "Aboriginal CED: Part II" , "On site visits" ,
 "INDU" , "423" , "Inventory Control" , "Laboratory: 2 hours per week, alternate weeks" ,
 "CIVI" , "6451" , "Pavement Design" , "A project is required" ,
 "EXCI" , "450" , "Physical Fitness Assessment, Exercise Prescription and Rehabilitation in Special Populations" , "Laboratory" ,
 "SCOL" , "391" , "Directed and Independent Study II" , "Practical laboratory project in a field different from SCOL 290 project" ,
 "MPER" , "321" , "Chamber Ensemble I" , "Public performance" ,
 "MECH" , "215" , "Programming for Mechanical and Industrial Engineers" , "Laboratory: 1 hour per week
Using Arduino - a type of microcontroller board used for mechatronics and robotics" ,
 "POLI" , "419" , "Strategic Studies" , "Simulations" ,
 "PSYC" , "885" , "Predoctoral Internship" , "12 months full-time employment under qualified supervision in an applied setting approved by the department’s internship committee" ,
 "INDU" , "6111" , "Theory of Operations Research" , "Project: 2 hours per week" ,
 "WSDB" , "394" , "Tutorial in Women’s Studies" , "Tutorial on topic not covered under normal curriculum, independent research ability required" ,
 "ETEC" , "792" , "Internship Report (Non-Thesis Option)" , "Internship" ,
 "COEN" , "6551" , "Formal Hardware Verification" , "A project is required" ,
 "TESL" , "471" , "English Language Arts: Secondary" , "Case studies. Hands-on workshops." ,
 "HIST" , "498" , "Edible Environments: In and Beyond Montreal (also listed as HIST 670)" , "International Graduate Summer School (2018)" ,
 "ENGR" , "107" , "Engineering Industrial Experience Work Term I" , "Industrial experience work term" ,
 "FTRA" , "401" , "Traduction littéraire avancée : du français à l’anglais" , "travaux pratiques " ,
 "JPER" , "441" , "Jazz Vocal Repertoire II" , "Public performance" ,
 "COMP" , "354" , "Introduction to Software Engineering" , "Laboratory: 24 hours total, group project" ,
 "GEOL" , "414" , "Undergraduate Research" , "Research" ,
 "FRAN" , "319" , "Le français des affaires II" , "textes administratifs; écriture professionelle en affaires" ,
 "CLAS" , "368" , "Field work in Archeology" , "Excavation, survey project or underwater archaeology, not to be restricted to the Mediterranean world; sites around the world could be eligible." ,
 "COMP" , "5541" , "Tools and Techniques for Software Engineering" , "Laboratory: 24 hours total, project" ,
 "MBA" , "660" , "Small Business Consulting Bureau" , "Business" ,
 "EDUC" , "493" , "Internship IV: Primary Teaching" , "8-week (200 hours) supervised student-teaching experience in a primary classroom (Grades 1 to 3)" ,
 "EXCI" , "383" , "Clinical Exercise Physiology Internship I" , "120 hours" ,
 "BLDG" , "7401" , "Dispersion of Building Exhaust" , "A case study or project is required" ,
 "MARK" , "460" , "Integrated Marketing Communications Practicum" , "Practicum" ,
 "SPAN" , "490" , "Honours Project" , "Extensive research project" ,
 "AHSC" , "670" , "Consultation Methods" , "Establish effective client-consultant relationships " ,
 "INDU" , "480" , "Cases in Industrial Engineering" , "Real-world situations, problem posed by the client" ,
 "BLDG" , "6781" , "Energy Management in Buildings" , "A case study & project" ,
 "TRAN" , "E-F" , "Traduction anglais-francais / English-French Translation Co-op" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "INDU" , "311" , "Simulation of Industrial Systems" , "Simulation,  Laboratory: 2 hours per week" ,
 "AHSC" , "632" , "Planning Human Systems Intervention" , "Course-integrated projects; Simulations; Case studies" ,
 "CIVI" , "6301" , "Hydrology" , "A case study & a project are required" ,
 "PSYC" , "710" , "APC Practicum II: Child" , "Assessment and treatment of selected child clients of the Applied Psychology Centre under faculty supervision" ,
 "CATA" , "365" , "Athletic Therapy Field Internship I" , "400 hours over 2 terms" ,
 "FLIT" , "486" , "Création littéraire I" , "ateliers et travaux (d’écriture)" ,
 "CIVI" , "7311" , "Advanced Analysis of Groundwater Flow and Contamination" , "A project is required" ,
 "CHEM" , "271" , "Biochemistry I" , "Laboratory" ,
 "EMBA" , "630" , "Financial Decisions Under Uncertainty" , "Cases & projects" ,
 "MECH" , "6011" , "Analysis and Design of Pneumatic Systems" , "A project on selected topics is required" ,
 "SCPA" , "352" , "Community and Local Activism" , "Local and community activism" ,
 "LIBS" , "495" , "Field Practice" , "5-week placement at a local library system" ,
 "COEN" , "451" , "VLSI Circuit Design" , "Laboratory: 30 hours total" ,
 "ADIP" , "585" , "Integrative Internship I" , "Establish a working relation with an organization which offers educational activities to adults in their community" ,
 "SPAN" , "695" , "Thesis" , "Thesis" ,
 "AHSC" , "435" , "Fieldwork Practice" , "Fieldwork, lead one small task or learning group in a community, an organizational or an institutional setting" ,
 "CHEM" , "BIO" , "Chemistry and Biochemistry Co-op" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "MPER" , "322" , "Chamber Ensemble II" , "Public performance" ,
 "FLIT" , "692" , "Mémoire" , "mémoire" ,
 "EMBA" , "610" , "Measuring & Reporting Financial Performance" , "Case method" ,
 "CHST" , "606" , "Qualitative Methods of Inquiry" , "Laboratory work, practical experience" ,
 "BIOL" , "624" , "Advances in Decomposer Communities and Nutrient Cycling" , "Laboratory" ,
 "COEN" , "6501" , "Digital System Design and Synthesis" , "Project involving system design and modelling, a project is required" ,
 "COMS" , "570" , "Media Production: Intermedia" , "Lectures and Laboratory: average 6 hours per week" ,
 "ELEC" , "6041" , "Large-scale Control Systems" , "A project is required" ,
 "ADED" , "496" , "Integrative Internship I" , "Internship" ,
 "BIOL" , "205" , "Introduction to Sustainability" , "Project" ,
 "LOYC" , "420" , "Integrative Project" , "Along with LOYC 398B: Orientation to International Community Engagement, this course provides the academic context to prepare students to go to Uganda with the CEED program (LOYC 398B) and to follow through with the learning when they come back (LOYC 420)" ,
 "FTRA" , "526" , "Stage de formation de l’anglais au français II (F)" , "stage de formation" ,
 "ELEC" , "6241" , "VLSI Process Technology" , "A project is required" ,
 "FINA" , "482" , "International Banking: Operations, Policy and Strategy" , "Group case presentation" ,
 "BIOL" , "516" , "Project in Biotechnology and Genomics" , "8-month (10 hours per week) of a 4-month period (20 hours per week) at Concordia or other approved institutions or companies" ,
 "CIVI" , "6681" , "Environmental Nanotechnology" , "A project is required" ,
 "ELEC" , "421" , "Solid State Devices" , "Design, fabricate
Laboratory: 15 hours total" ,
 "ENGL" , "428" , "Advanced Studies in Creative Writing" , "Advanced workshop" ,
 "FLIT" , "496" , "Recherche dirigée" , "travaux individuels" ,
 "CHEM" , "431" , "Computational Chemistry for Chemists and Biochemists" , "Hands-on experience, Laboratory" ,
 "COMS" , "513" , "Cultures of Production" , "Field research projects" ,
 "MARK" , "492" , "Cross-cultural communication" , "Project directed to a selected part of the world" ,
 "ENGR" , "307" , "Engineering Industrial Experience Work Term III" , "Industrial experience work term" ,
 "MECH" , "375" , "Mechanical Vibrations" , "Laboratory: 2 hours per week, alternate weeks" ,
 "THEO" , "697" , "Thesis" , "Thesis" ,
 "GEOG" , "260" , "Mapping the Environment" , "Practical assignments, Laboratory" ,
 "APLI" , "636" , "Language Awareness" , "Students research and teach language awareness techniques to the entire class." ,
 "ELEC" , "431" , "Electrical Power Systems" , "Laboratory: 15 hours total" ,
 "FLIT" , "488" , "Création littéraire II" , "ateliers d’écriture ainsi que par l’élaboration d’un projet individuel" ,
 "MECH" , "6631" , "Industrial Automation" , "A project on specific topic or applications is required" ,
 "MECH" , "311" , "Manufacturing Processes" , "Industrial visits, field trips to local industries, Laboratory: 3 hours per week, alternate weeks" ,
 "STAT" , "388" , "Statistics Lab II" , "Lab" ,
 "SOEN" , "390" , "Software Engineering Team Design Project" , "mini-capstone, group project, Laboratory: 36 hours total" ,
 "EDUC" , "402" , "Diversity Issues in Childhood" , "Course-integrated project: Student inverview a parent or primary caregiver or an educator, and interpret/analyze responses in terms of the concepts and ideas covered in the course" ,
 "COMS" , "585" , "Directed Study in Communication Studies I" , "Specialized study of theoretical or research-related topics" ,
 "COMS" , "606" , "Media Research Practicum" , "Individual research practicum offered on a tutorial basis under faculty supervision" ,
 "ELEC" , "6061" , "Real-time Computer Control Systems" , "A project is required" ,
 "CIVI" , "484" , "Hydraulic Engineering" , "Laboratory: 2 hours per week, alternate weeks" ,
 "CIVI" , "6011" , "Precast and Prestressed Concrete Structures" , "A project is required" ,
 "BIOL" , "321" , "Evolution" , "Tutorials" ,
 "COMP" , "472" , "Artificial Intelligence" , "Laboratory: 24 hours total, project" ,
 "MECH" , "6641" , "Engineering Fracture Mechanics and Fatigue" , "A case study or project on selected applications is required" ,
 "MECH" , "6681" , "Dynamics and Control of Nonholonomic Systems" , "A project is required" ,
 "URBS" , "435" , "Transportation Impact Assessment" , "Real-world case-study, Laboratory" ,
 "CHEM" , "221" , "Introductory Organic Chemistry I" , "Laboratory" ,
 "FTRA" , "680" , "Tutorat en littérature" , "tutorat" ,
 "MBA" , "658" , "Case Competition Organizer" , "Competition" ,
 "ELEC" , "6131" , "Error Detecting and Correcting Codes" , "A project is required" ,
 "MANA" , "481" , "Introduction to Management Consulting" , "Real‑world consulting project that students conduct with a client firm" ,
 "AHSC" , "410" , "Advanced Youth Work Intervention" , "Simulations" ,
 "MECH" , "7501" , "Design Using Composite Materials" , "A project on selected topics is required" ,
 "BLDG" , "6641" , "Industrialized Building" , "A case study & a project" ,
 "SOEN" , "228" , "System Hardware" , "Laboratory: 24 hours total" ,
 "BLDG" , "7601" , "Durability of Building Materials" , "A case study & project" ,
 "BLDG" , "7521" , "Advanced Computer-Aided Building Design" , "A project is required" ,
 "GEOG" , "465" , "Remote Sensing" , "Laboratory" ,
 "EXCI" , "254" , "Human Anatomy II: Systemic Anatomy" , "Laboratory" ,
 "ELEC" , "430" , "Electrical Power Equipment" , "Laboratory: 15 hours total" ,
 "BLDG" , "6591" , "Computer-Aided Building Design" , "A project is required" ,
 "GEOG" , "363" , "Geographic Information Systems" , "Real-world problem, Laboratory" ,
 "FTRA" , "422" , "Stage de formation : de l’anglais au français I" , "stage; activité professionnelle" ,
 "ENGL" , "348" , "Creative Writing: Poetry" , "Workshop" ,
 "PSYC" , "705" , "APC Practicum I" , "Case supervision, observe and/or assist with clients in therapy, case conferences at the Applied Psychology Centre" ,
 "BLDG" , "6231" , "Applications of Artificial Intelligence in Building and Civil Engineering" , "A project is required" ,
 "SCPA" , "511" , "Projet DÉC. Partie II" , "Situation réelle, practicien-ne-s de DÉC sont invité-e-s à participer à l’évaluation des résultats du projet" ,
 "CIVI" , "6651" , "Water Pollution and Control" , "A case study and a project are required" ,
 "FINA" , "395" , "Theory of Finance II" , "Team project" ,
 "MECH" , "414" , "Computer Numerically Controlled Machining" , "Laboratory: 2 hours per week, alternate weeks" ,
 "SOCI" , "691" , "Thesis" , "Thesis" ,
 "SOEN" , "487" , "Web Services and Applications" , "Laboratory: 24 hours total, project" ,
 "TESL" , "426" , "Primary Pedagogy" , "Games/role-plays. Case studies. Hands-on workshops." ,
 "BLDG" , "6071" , "Wind Engineering and Building Aerodynamics" , "A case study or a project is required" ,
 "MECH" , "6541" , "Joining Processes and Nondestructive Testing" , "A project on current research topic or selected applications is required" ,
 "BIOL" , "201" , "Introductory Biology" , "Laboratory" ,
 "INSE" , "6160" , "Database Security and Privacy" , "A project is required" ,
 "AHSC" , "525" , "Individual and Group Intervention with Youth" , "Fieldwork component, 1 hour per week of observation in a youth work setting" ,
 "ACTU" , "386" , "Actuarial Mathematics Lab II" , "Lab" ,
 "AHSC" , "480" , "Internship in Family Relations" , "360-hour internship, supervised placement implementing family life education programs in such settings as community organizations, education, and health care" ,
 "PSYC" , "890" , "Research and Thesis" , "Research, thesis" ,
 "BLDG" , "6711" , "Mechanical Systems in Building" , "A project is required" ,
 "JOUR" , "508" , "Research Project" , "Comprehensive study and report" ,
 "APLI" , "616" , "Pedagogical Grammar" , "Final teaching research project: design, implement, and evaluate the teaching of an original set of materials on a grammar feature; write up the analysis in a final report" ,
 "INDU" , "6221" , "Lean Enterprise" , "A project is required" ,
 "MATH" , "646" , "Research Internship" , "Research project, research assistant under the supervision of a senior researcher" ,
 "URBS" , "362" , "Quantitative Research Methods" , "Laboratory" ,
 "GEOL" , "302" , "Palaeobiology" , "Laboratory" ,
 "CLAS" , "370" , "Practicum in Archaeology" , "At least 1 month in the field" ,
 "INDU" , "324" , "Operations Research II" , "Laboratory: 2 hours per week, alternate weeks" ,
 "INSE" , "6510" , "Video Game Technology and Development" , "A project is required" ,
 "TRAN" , "E-F" , "Traduction anglais-francais / English-French Translation Co-op - International" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "MBA" , "632" , "MBA Practicum Project" , "In-depth investigation of a complex business problem within a corporation or other economic entity" ,
 "MECH" , "461" , "Gas Dynamics" , "Laboratory: 2 hours per week, alternate weeks" ,
 "COMP" , "249" , "Object‑Oriented Programming I" , "Laboratory: 12 hours total" ,
 "MATH" , "ACTF" , "Actuarial Finance Co-op - International" , "Co-op placement. Please visit the Co-op Institute for more details." ,
 "JOUR" , "527" , "Elements of Lighting for Visual Journalism" , "Workshop course" ,
 "JOUR" , "505" , "Advanced Reporting" , "Workshop" ,
 "CIVI" , "6101" , "Planning and Design of Bridges" , "A project is required" ,
 "SCPA" , "301" , "Social Debates and Issues in Public Affairs and Public Policy" , "Case studies, public panel discussion" ,
 "CIVI" , "321" , "Engineering Materials" , "Laboratory: 3 hours per week, alternate weeks" ,
 "INSE" , "6680" , "Systems Physical Security" , "A project is required" ,
 "MAST" , "700" , "Thesis" , "Thesis" ,
 "ELEC" , "7441" , "Design of Power Electronic Circuits" , "A project is required" ,
 "MANA" , "529" , "Internship" , "Internship" ,
 "ELEC" , "6411" , "Power Electronics I" , "A project is required" ,
 "COEN" , "6313" , "Programming on the Cloud" , "A project is required" ,
 "COEN" , "490" , "Capstone Computer Engineering Design Project" , "capstone, group project" ,
 "ELEC" , "6461" , "Power Electronics II" , "A project is required" ,
 "INSE" , "6400" , "Principles of Systems Engineering" , "A project is required" ,
 "THEO" , "404" , "Practicum in Pastoral Ministry" , "Internship and field exploration of a particular pastoral ministry" ,
 "FINA" , "385" , "Theory of Finance I" , "Portfolio project" ,
 "INSE" , "6311" , "Sustainable Infrastructure Planning and Management Systems" , "Projects" ,
 "INSE" , "6300" , "Quality Assurance in Supply Chain Management" , "A project is required" ,
 "MARK" , "493" , "Current issues in marketing" , "Research projects" ,
 "INSE" , "6441" , "Applied Game Theory and Mechanism Design" , "A project is required" ,
 "RELI" , "680" , "Guided Research Paper" , "Research paper" ,
 "BLDG" , "463" , "Building Envelope Design" , "On-site investigation" ,
 "MBA" , "644" , "Marketing Management" , "Case discussions & application-oriented readings" ,
 "CHST" , "693" , "Child Studies Internship" , "SIS" ,
 "FTRA" , "598" , "Étude avancée d’un sujet particulier / Special Topics" , "étude avancée, sujet particulier" ,
